transactionID,customerID,franchiseID,dateTime,product,quantity,unitPrice,totalPrice,paymentMethod,cardNumber
2000000,1000041,3000029,2024-07-04 03:08:57.918986,Golden Gate Ginger,6,3,18,mastercard,5382071075807923
2000001,1000033,3000038,2024-07-02 04:58:43.072417,Golden Gate Ginger,9,3,27,mastercard,2222190557692685
2000002,1000018,3000044,2024-07-04 22:21:47.954109,Orchard Oasis,1,3,3,mastercard,5590182977436618
2000003,1000034,3000035,2024-07-06 04:29:12.831366,Tokyo Tidbits,4,3,12,amex,341140963000676
2000004,1000280,3000021,2024-07-13 00:04:26.256883,Outback Oatmeal,10,3,30,mastercard,5456511593077237
2000005,1000128,3000032,2024-07-16 10:58:51.130138,Austin Almond Biscotti,10,3,30,visa,4479132137995325
2000006,1000213,3000027,2024-07-02 18:10:51.167558,Pearly Pies,7,3,21,visa,4757189689877395
2000007,1000057,3000043,2024-07-03 05:39:37.371650,Outback Oatmeal,3,3,9,amex,343911826249330
2000008,1000236,3000042,2024-07-07 08:01:31.273918,Pearly Pies,5,3,15,visa,4863850348449881
2000009,1000156,3000027,2024-07-05 11:25:27.492118,Pearly Pies,6,3,18,visa,4540461421687123
2000010,1000221,3000025,2024-07-29 13:34:17.374050,Golden Gate Ginger,4,3,12,mastercard,5545480088569335
2000011,1000193,3000026,2024-07-14 10:40:49.228917,Outback Oatmeal,4,3,12,amex,371080157612675
2000012,1000274,3000027,2024-07-28 06:17:07.545941,Austin Almond Biscotti,6,3,18,amex,372797589336602
2000013,1000276,3000026,2024-07-06 00:47:46.696395,Golden Gate Ginger,6,3,18,mastercard,2239682491904045
2000014,1000113,3000043,2024-07-21 06:59:13.253711,Orchard Oasis,4,3,12,visa,4468093290466434
2000015,1000212,3000045,2024-07-14 21:32:03.519241,Golden Gate Ginger,6,3,18,amex,379684349967657
2000016,1000093,3000010,2024-07-09 11:06:56.143306,Golden Gate Ginger,5,3,15,amex,349392853915040
2000017,1000181,3000043,2024-07-15 03:06:11.457847,Pearly Pies,6,3,18,mastercard,2720003725587066
2000018,1000270,3000042,2024-07-14 00:42:25.414301,Pearly Pies,10,3,30,mastercard,2242417003148996
2000019,1000067,3000029,2024-07-23 22:24:37.687081,Outback Oatmeal,1,3,3,mastercard,2238652285475693
2000020,1000075,3000018,2024-07-18 08:28:22.017319,Pearly Pies,5,3,15,visa,4319123655621587
2000021,1000295,3000023,2024-07-06 23:24:57.213199,Golden Gate Ginger,7,3,21,visa,4084880712965611
2000022,1000190,3000033,2024-07-04 00:21:40.998116,Orchard Oasis,5,3,15,amex,377136308174652
2000023,1000035,3000027,2024-07-03 05:59:35.254698,Outback Oatmeal,9,3,27,mastercard,2702167836095418
2000024,1000043,3000007,2024-07-12 05:53:08.946196,Tokyo Tidbits,2,3,6,visa,4148043584378652
